n.title,t.ratingaverage,t.ratingcount
"Fugitive, The (1993)",4.044642857142857,336
My Man Godfrey (1936),4.037037037037037,27
Alien (1979),4.034364261168385,291
"Quiet Man, The (1952)",4.029850746268656,67
Strictly Ballroom (1992),4.028846153846154,104
"Big Sleep, The (1946)",4.027397260273973,73
"Man Who Would Be King, The (1975)",4.025,80
"Wild Bunch, The (1969)",4.023255813953488,43
"Great Dictator, The (1940)",4.021739130434782,46
Gandhi (1982),4.02051282051282,195
To Catch a Thief (1955),4.02,50
Three Colors: Blue (1993),4.015625,64
It Happened One Night (1934),4.012345679012346,81
Sense and Sensibility (1995),4.0111940298507465,268
Hamlet (1996),4.011111111111111,90
Return of the Jedi (1983),4.007889546351085,507
Nikita (La Femme Nikita) (1990),4.0078740157480315,127
Terminator 2: Judgment Day (1991),4.0067796610169495,295
His Girl Friday (1940),4.0,56
For Whom the Bell Tolls (1943),4.0,20
Hard Eight (1996),4.0,15
Dial M for Murder (1954),4.0,68
Safe (1995),4.0,13
Duck Soup (1933),4.0,93
Priest (1994),4.0,40
Wings of Desire (1987),4.0,57
M (1931),4.0,44
Babe (1995),3.9954337899543377,219
Cool Hand Luke (1967),3.9939024390243905,164
Singin' in the Rain (1952),3.9927007299270074,137
Patton (1970),3.9926470588235294,136
Kolya (1996),3.9914529914529915,117
Reservoir Dogs (1992),3.9864864864864864,148
"Room with a View, A (1986)",3.985074626865672,134
Some Like It Hot (1959),3.984375,128
My Life as a Dog (Mitt liv som hund) (1985),3.978494623655914,93
Farewell My Concubine (1993),3.9782608695652173,46
Rebecca (1940),3.9696969696969697,66
2001: A Space Odyssey (1968),3.969111969111969,259
Local Hero (1983),3.9682539682539684,63
"Die xue shuang xiong (Killer, The) (1989)",3.967741935483871,31
"Postino, Il (1994)",3.9672131147540983,183
Beautiful Thing (1996),3.9655172413793105,29
Ulee's Gold (1997),3.96,50
Antonia's Line (1995),3.9565217391304346,69
Cat on a Hot Tin Roof (1958),3.9516129032258065,62
GoodFellas (1990),3.9513274336283186,226
Butch Cassidy and the Sundance Kid (1969),3.949074074074074,216
"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",3.9479166666666665,96
Aliens (1986),3.9471830985915495,284
Belle de jour (1967),3.945945945945946,37
Young Frankenstein (1974),3.945,200
Thirty-Two Short Films About Glenn Gould (1993),3.9444444444444446,18
"Magnificent Seven, The (1954)",3.9421487603305785,121
Lost Horizon (1937),3.9411764705882355,34
"Remains of the Day, The (1993)",3.94,150
"Day the Earth Stood Still, The (1951)",3.9381443298969074,97
Brassed Off (1996),3.9375,32
"Apartment, The (1960)",3.9365079365079363,63
Shadowlands (1993),3.9358974358974357,78
Chasing Amy (1997),3.935483870967742,124
"Terminator, The (1984)",3.9335548172757475,301
Spellbound (1945),3.933333333333333,30
Apollo 13 (1995),3.931159420289855,276
Indiana Jones and the Last Crusade (1989),3.930513595166163,331
Enchanted April (1991),3.9285714285714284,70
"Full Monty, The (1997)",3.926984126984127,315
Charade (1963),3.925,40
Primary Colors (1998),3.923076923076923,13
Shine (1996),3.9224806201550386,129
Meet John Doe (1941),3.92,25
"Right Stuff, The (1983)",3.917197452229299,157
"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",3.9166666666666665,24
Dead Poets Society (1989),3.9163346613545817,251
M*A*S*H (1970),3.912621359223301,206
Touch of Evil (1958),3.911764705882353,34
In the Name of the Father (1993),3.911764705882353,102
Annie Hall (1977),3.911111111111111,180
When Harry Met Sally... (1989),3.910344827586207,290
"Clockwork Orange, A (1971)",3.909502262443439,221
Searching for Bobby Fischer (1993),3.9057971014492754,138
This Is Spinal Tap (1984),3.905759162303665,191
Being There (1979),3.9051724137931036,116
Fly Away Home (1996),3.903225806451613,31
Big Night (1996),3.9005847953216373,171
Sophie's Choice (1982),3.896551724137931,58
Dead Man Walking (1995),3.8963210702341136,299
"Celluloid Closet, The (1995)",3.892857142857143,56
Rosencrantz and Guildenstern Are Dead (1990),3.888888888888889,90
Gaslight (1944),3.8857142857142857,35
Trainspotting (1996),3.884,250
Stand by Me (1986),3.881057268722467,227
Toy Story (1995),3.8783185840707963,452
Delicatessen (1991),3.876923076923077,65
Raising Arizona (1987),3.875,256
"Ruling Class, The (1972)",3.875,16
Die Hard (1988),3.8724279835390947,243
Gone with the Wind (1939),3.871345029239766,171
Once Upon a Time in the West (1969),3.8684210526315788,38
Unforgiven (1992),3.868131868131868,182
Foreign Correspondent (1940),3.8666666666666667,15
"Gay Divorcee, The (1934)",3.8666666666666667,15
Three Colors: White (1994),3.864406779661017,59
East of Eden (1955),3.864406779661017,59
"Hunt for Red October, The (1990)",3.8634361233480177,227
"Good, The Bad and The Ugly, The (1966)",3.8613138686131387,137
"Secret of Roan Inish, The (1994)",3.859154929577465,71
Braindead (1992),3.857142857142857,14
Anne Frank Remembered (1995),3.857142857142857,21
Rebel Without a Cause (1955),3.8555555555555556,90
Amistad (1997),3.8548387096774195,124
Philadelphia (1993),3.854014598540146,137
Forrest Gump (1994),3.853582554517134,321
My Left Foot (1989),3.8512396694214877,121
Seven (Se7en) (1995),3.847457627118644,236
Walkabout (1971),3.8461538461538463,26
Bringing Up Baby (1938),3.838235294117647,68
"Blues Brothers, The (1980)",3.8366533864541834,251
Forbidden Planet (1956),3.8358208955223883,67
Back to the Future (1985),3.834285714285714,350
Night on Earth (1991),3.8333333333333335,36
"Deer Hunter, The (1978)",3.8333333333333335,120
"Farewell to Arms, A (1932)",3.8333333333333335,12
E.T. the Extra-Terrestrial (1982),3.8333333333333335,300
"Big Lebowski, The (1998)",3.8333333333333335,42
Richard III (1995),3.831460674157303,89
Ben-Hur (1959),3.8306451612903225,124
Swingers (1996),3.828025477707006,157
"Shining, The (1980)",3.825242718446602,206
Cold Comfort Farm (1995),3.824,125
Dead Man (1995),3.823529411764706,34
Bound (1996),3.8217054263565893,129
Bonnie and Clyde (1967),3.819672131147541,122
Cyrano de Bergerac (1990),3.8181818181818183,66
Shallow Grave (1994),3.8181818181818183,66
Harold and Maude (1971),3.8181818181818183,121
Brazil (1985),3.8173076923076925,208
"Streetcar Named Desire, A (1951)",3.816326530612245,98
My Fair Lady (1964),3.816,125
8 1/2 (1963),3.8157894736842106,38
Star Trek: The Wrath of Khan (1982),3.8155737704918034,244
Paris Is Burning (1990),3.814814814814815,27
Aladdin (1992),3.8127853881278537,219
"Birds, The (1963)",3.808641975308642,162
"Spitfire Grill, The (1996)",3.804123711340206,97
Clerks (1994),3.804054054054054,148
Like Water For Chocolate (Como agua para chocolate) (1992),3.804054054054054,148
Contact (1997),3.8035363457760316,509
Donnie Brasco (1997),3.802721088435374,147
Winnie the Pooh and the Blustery Day (1968),3.8,75
Twelve Monkeys (1995),3.798469387755102,392
Sabrina (1954),3.796875,64
Dances with Wolves (1990),3.79296875,256
In the Line of Fire (1993),3.7928994082840237,169
Chasing Amy (1997),3.792156862745098,255
Beauty and the Beast (1991),3.792079207920792,202
"Bronx Tale, A (1993)",3.7916666666666665,48
"City of Lost Children, The (1995)",3.7916666666666665,96
"Adventures of Robin Hood, The (1938)",3.791044776119403,67
Crumb (1994),3.7901234567901234,81
Trust (1990),3.789473684210526,19
To Live (Huozhe) (1994),3.7857142857142856,14
"Fish Called Wanda, A (1988)",3.785425101214575,247
"Lion King, The (1994)",3.7818181818181817,220
Mr. Holland's Opus (1995),3.7781569965870307,293
"Blue Angel, The (Blaue Engel, Der) (1930)",3.7777777777777777,18
Short Cuts (1993),3.7761194029850746,67
Jaws (1975),3.775,280
"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",3.772727272727273,44
"Sweet Hereafter, The (1997)",3.772727272727273,44
Down by Law (1986),3.7714285714285714,35
"Thin Blue Line, The (1988)",3.7714285714285714,35
Six Degrees of Separation (1993),3.77027027027027,74
Fantasia (1940),3.7701149425287355,174
Dangerous Beauty (1998),3.769230769230769,13
Manhattan (1979),3.769230769230769,91
Ninotchka (1939),3.769230769230769,26
"Madness of King George, The (1994)",3.769230769230769,91
Face/Off (1997),3.768041237113402,194
"Sound of Music, The (1965)",3.765765765765766,222
Fried Green Tomatoes (1991),3.764705882352941,153
Groundhog Day (1993),3.7642857142857142,280
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",3.761904761904762,21
"Cry, the Beloved Country (1995)",3.75,24
Microcosmos: Le peuple de l'herbe (1996),3.75,24
Four Days in September (1997),3.75,12
Monty Python's Life of Brian (1979),3.7471264367816093,174
Men in Black (1997),3.745874587458746,303
Giant (1956),3.7450980392156863,51
Bob Roberts (1992),3.7411764705882353,85
Living in Oblivion (1995),3.740740740740741,27
"Haunted World of Edward D. Wood Jr., The (1995)",3.7333333333333334,15
Breaking the Waves (1996),3.72972972972973,74
Looking for Richard (1996),3.727272727272727,55
Diva (1981),3.727272727272727,66
Breakfast at Tiffany's (1961),3.7263157894736842,95
Mary Poppins (1964),3.7247191011235956,178
Welcome to the Dollhouse (1995),3.7232142857142856,112
Miracle on 34th Street (1994),3.722772277227723,101
"Inspector General, The (1949)",3.7222222222222223,18
Bullets Over Broadway (1994),3.7209302325581395,86
Jurassic Park (1993),3.7203065134099615,261
Emma (1996),3.7175141242937855,177
In the Company of Men (1997),3.712121212121212,66
Jerry Maguire (1996),3.7109375,384
Snow White and the Seven Dwarfs (1937),3.7093023255813953,172
Burnt By the Sun (1994),3.7083333333333335,24
Shall We Dance? (1937),3.7058823529411766,17
"Professional, The (1994)",3.704697986577181,149
Ridicule (1996),3.7045454545454546,44
Bananas (1971),3.7017543859649122,57
"Tin Drum, The (Blechtrommel, Die) (1979)",3.7,40
"American in Paris, An (1951)",3.7,50
Field of Dreams (1989),3.69811320754717,212
Leaving Las Vegas (1995),3.697986577181208,298
"Rock, The (1996)",3.693121693121693,378
Platoon (1986),3.6929133858267718,127
"Pillow Book, The (1995)",3.6923076923076925,26
Flirting With Disaster (1996),3.6904761904761907,42
Kundun (1997),3.6904761904761907,42
Heathers (1989),3.690058479532164,171
In the Bleak Midwinter (1995),3.6875,16
Ulee's Gold (1997),3.6865671641791047,134
"Time to Kill, A (1996)",3.685344827586207,232
Full Metal Jacket (1987),3.6823529411764704,170
"Double vie de V�ronique, La (Double Life of Veronique, The) (1991)",3.6818181818181817,22
"Wings of the Dove, The (1997)",3.68,75
"Perfect World, A (1993)",3.68,50
Mediterraneo (1991),3.676470588235294,34
Little Women (1994),3.676470588235294,102
Grosse Pointe Blank (1997),3.675,160
Pinocchio (1940),3.6732673267326734,101
Heavenly Creatures (1994),3.6714285714285713,70
My Family (1995),3.6666666666666665,21
"Women, The (1939)",3.6666666666666665,15
Rosewood (1997),3.6666666666666665,114
Alice in Wonderland (1951),3.6666666666666665,81
Tombstone (1993),3.6666666666666665,108
SubUrbia (1997),3.6666666666666665,12
"Daytrippers, The (1996)",3.6666666666666665,15
Funny Face (1957),3.6666666666666665,21
Real Genius (1985),3.6638655462184873,119
Four Weddings and a Funeral (1994),3.6613545816733066,251
Some Kind of Wonderful (1987),3.6610169491525424,59
Around the World in 80 Days (1956),3.6610169491525424,59
Star Trek: First Contact (1996),3.66027397260274,365
Gigi (1958),3.658536585365854,41
"Little Princess, A (1995)",3.658536585365854,41
"English Patient, The (1996)",3.656964656964657,481
"Apostle, The (1997)",3.6545454545454548,55
Ghost in the Shell (Kokaku kidotai) (1995),3.6538461538461537,26
It Could Happen to You (1994),3.652173913043478,46
Miller's Crossing (1990),3.651685393258427,89
"Ghost and Mrs. Muir, The (1947)",3.6511627906976742,43
Dave (1993),3.65,180
Casino (1995),3.6483516483516483,91
Speed (1994),3.6478260869565218,230
Quiz Show (1994),3.645714285714286,175
Ransom (1996),3.644194756554307,267
"Ice Storm, The (1997)",3.6436781609195403,87
Jackie Brown (1997),3.642857142857143,126
"Candidate, The (1972)",3.641025641025641,39
Sleeper (1973),3.6341463414634148,82
My Own Private Idaho (1991),3.6333333333333333,30
Willy Wonka and the Chocolate Factory (1971),3.6319018404907975,326
Air Force One (1997),3.6310904872389793,431
Crimson Tide (1995),3.6298701298701297,154
Manhattan Murder Mystery (1993),3.6296296296296298,27
"American President, The (1995)",3.6280487804878048,164
Selena (1997),3.625,16
Citizen Ruth (1996),3.6222222222222222,45
"Crying Game, The (1992)",3.6218487394957983,119
Smoke (1995),3.6216216216216215,74
"Mis�rables, Les (1995)",3.619047619047619,21
Orlando (1993),3.6176470588235294,34
Love! Valour! Compassion! (1997),3.6153846153846154,26
"Mark of Zorro, The (1940)",3.6153846153846154,13
True Romance (1993),3.6153846153846154,104
Othello (1995),3.611111111111111,72
Picnic (1955),3.611111111111111,18
To Be or Not to Be (1942),3.611111111111111,18
Courage Under Fire (1996),3.6108597285067874,221
Eve's Bayou (1997),3.609375,64
Nobody's Fool (1994),3.608695652173913,46
Bride of Frankenstein (1935),3.608695652173913,46
Ed Wood (1994),3.601503759398496,133
"Piano, The (1993)",3.6011904761904763,168
Primal Fear (1996),3.601123595505618,178
Mrs. Dalloway (1997),3.6,15
Murder in the First (1995),3.6,60
"Rainmaker, The (1997)",3.6,145
Red Rock West (1992),3.5961538461538463,52
Gattaca (1997),3.5955882352941178,136
"People vs. Larry Flynt, The (1996)",3.5953488372093023,215
"Adventures of Priscilla, Queen of the Desert, The (1994)",3.5945945945945947,111
William Shakespeare's Romeo and Juliet (1996),3.5943396226415096,106
"Game, The (1997)",3.593625498007968,251
Vanya on 42nd Street (1994),3.5925925925925926,27
Marvin's Room (1996),3.58974358974359,78
"Abyss, The (1989)",3.589403973509934,151
"Nightmare Before Christmas, The (1993)",3.5874125874125875,143
Boogie Nights (1997),3.5873015873015874,189
Father of the Bride (1950),3.5833333333333335,60
Cinderella (1950),3.5813953488372094,129
Widows' Peak (1994),3.5789473684210527,19
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.576923076923077,26
Swimming with Sharks (1995),3.574468085106383,47
"Hour of the Pig, The (1993)",3.5714285714285716,14
Chungking Express (1994),3.5714285714285716,28
Clear and Present Danger (1994),3.569832402234637,179
Better Off Dead... (1985),3.569620253164557,79
Heat (1995),3.569506726457399,223
Rob Roy (1995),3.5652173913043477,92
"Jungle Book, The (1994)",3.5647058823529414,85
When the Cats Away (Chacun cherche son chat) (1996),3.5625,16
True Lies (1994),3.5625,208
Phenomenon (1996),3.557377049180328,244
On Golden Pond (1981),3.556603773584906,106
Exotica (1994),3.5555555555555554,27
"Family Thing, A (1996)",3.5555555555555554,45
"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",3.5555555555555554,54
"Hudsucker Proxy, The (1994)",3.5545454545454547,110
"Return of the Pink Panther, The (1974)",3.5543478260869565,92
Don Juan DeMarco (1995),3.5526315789473686,76
Get Shorty (1995),3.550239234449761,209
Muriel's Wedding (1994),3.55,100
While You Were Sleeping (1995),3.549382716049383,162
"Last of the Mohicans, The (1992)",3.546875,128
Unzipped (1995),3.5454545454545454,11
Stalker (1979),3.5454545454545454,11
"Sum of Us, The (1994)",3.5454545454545454,11
"Secret Garden, The (1993)",3.5443037974683542,79
"Man Without a Face, The (1993)",3.5441176470588234,68
"Paris, Texas (1984)",3.5434782608695654,46
"Seventh Seal, The (Sjunde inseglet, Det) (1957)",3.5416666666666665,72
Sleepless in Seattle (1993),3.539906103286385,213
"Edge, The (1997)",3.5398230088495577,113
What's Eating Gilbert Grape (1993),3.5391304347826087,115
Supercop (1992),3.5384615384615383,65
Fly Away Home (1996),3.5369127516778525,149
Highlander (1986),3.5359477124183005,153
"American Werewolf in London, An (1981)",3.5353535353535355,99
My Favorite Year (1982),3.532258064516129,62
Private Parts (1997),3.53,100
Jeffrey (1995),3.5294117647058822,34
Cape Fear (1962),3.5232558139534884,86
Evil Dead II (1987),3.5168539325842696,89
"Devil's Advocate, The (1997)",3.515957446808511,188
Hercules (1997),3.515151515151515,66
Sleepers (1996),3.514792899408284,169
Sneakers (1992),3.513333333333333,150
Wag the Dog (1997),3.510948905109489,137
Carrie (1976),3.5041322314049586,121
Moll Flanders (1996),3.5,42
"Queen Margot (Reine Margot, La) (1994)",3.5,24
Dark City (1998),3.5,16
"Hate (Haine, La) (1995)",3.5,18
"Body Snatcher, The (1945)",3.5,22
"Assignment, The (1997)",3.5,18
Sabrina (1995),3.5,190
"20,000 Leagues Under the Sea (1954)",3.5,72
Dumbo (1941),3.4959349593495936,123
Koyaanisqatsi (1983),3.490566037735849,53
What's Love Got to Do with It (1993),3.488888888888889,45
When a Man Loves a Woman (1994),3.4871794871794872,39
Circle of Friends (1995),3.486842105263158,76
"Wedding Singer, The (1998)",3.486111111111111,72
"Truth About Cats & Dogs, The (1996)",3.485294117647059,272
Old Yeller (1957),3.484375,64
"Grifters, The (1990)",3.4831460674157304,89
Ghosts of Mississippi (1996),3.4827586206896552,29
Top Gun (1986),3.481818181818182,220
Nell (1994),3.4814814814814814,81
"Fifth Element, The (1997)",3.4771573604060912,197
"Ice Storm, The (1997)",3.4761904761904763,21
Jane Eyre (1996),3.4761904761904763,63
"Sex, Lies, and Videotape (1989)",3.4752475247524752,101
Killing Zoe (1994),3.475,40
Backbeat (1993),3.473684210526316,19
"Long Kiss Goodnight, The (1996)",3.4702702702702704,185
Maverick (1994),3.46875,128
Dazed and Confused (1993),3.46875,64
One Night Stand (1997),3.466666666666667,15
That Thing You Do! (1996),3.465909090909091,176
Restoration (1995),3.464788732394366,71
Ghost (1990),3.4647058823529413,170
Glengarry Glen Ross (1992),3.463768115942029,69
Friday (1995),3.4615384615384617,26
Kiss the Girls (1997),3.4615384615384617,143
"Red Firecracker, Green Firecracker (1994)",3.4615384615384617,13
Benny & Joon (1993),3.4607843137254903,102
Immortal Beloved (1994),3.4603174603174605,63
Menace II Society (1993),3.46,50
Con Air (1997),3.45985401459854,137
Clueless (1995),3.458823529411765,170
Now and Then (1995),3.4583333333333335,24
Seven Years in Tibet (1997),3.458064516129032,155
Legends of the Fall (1994),3.45679012345679,81
"Unbearable Lightness of Being, The (1988)",3.4565217391304346,92
Michael Collins (1996),3.4565217391304346,92
Cape Fear (1991),3.456140350877193,171
Bottle Rocket (1996),3.4545454545454546,44
Desperado (1995),3.4536082474226806,97
"Brothers McMullen, The (1995)",3.452054794520548,73
Ma vie en rose (My Life in Pink) (1997),3.45,20
Rumble in the Bronx (1995),3.4482758620689653,174
"Last Supper, The (1995)",3.4482758620689653,58
Star Trek IV: The Voyage Home (1986),3.4472361809045227,199
Mallrats (1995),3.4444444444444446,54
Black Beauty (1994),3.4444444444444446,27
"Birdcage, The (1996)",3.4436860068259385,293
Scream (1996),3.4414225941422596,478
Independence Day (ID4) (1996),3.438228438228438,429
"Fast, Cheap & Out of Control (1997)",3.4375,32
Army of Darkness (1993),3.4310344827586206,116
Mystery Science Theater 3000: The Movie (1996),3.4307692307692306,130
Death and the Maiden (1994),3.4285714285714284,28
In Love and War (1996),3.4285714285714284,28
Batman (1989),3.427860696517413,201
Tomorrow Never Dies (1997),3.4277777777777776,180
Somewhere in Time (1980),3.426829268292683,82
"Basketball Diaries, The (1995)",3.425,40
Anastasia (1997),3.4242424242424243,66
Conspiracy Theory (1997),3.4237288135593222,295
Night of the Living Dead (1968),3.421875,64
Set It Off (1996),3.4210526315789473,19
Mighty Aphrodite (1995),3.4184782608695654,184
"Crow, The (1994)",3.417910447761194,134
Pump Up the Volume (1990),3.4177215189873418,79
Angels and Insects (1995),3.4166666666666665,72
"Man in the Iron Mask, The (1998)",3.4166666666666665,12
Blue Sky (1994),3.4166666666666665,12
Twelfth Night (1996),3.413793103448276,29
Mrs. Doubtfire (1993),3.4114583333333335,192
Before Sunrise (1995),3.4081632653061225,49
Carlito's Way (1993),3.4074074074074074,54
"Thousand Acres, A (1997)",3.4054054054054053,37
Breakdown (1997),3.4025974025974026,77
Once Upon a Time in America (1984),3.4,50
Deconstructing Harry (1997),3.4,65
White Squall (1996),3.4,85
Beautiful Girls (1996),3.391304347826087,115
Happy Gilmore (1996),3.389261744966443,149
"Omen, The (1976)",3.388235294117647,85
Red Corner (1997),3.3859649122807016,57
Devil in a Blue Dress (1995),3.3859649122807016,57
"Age of Innocence, The (1993)",3.3846153846153846,65
"Tango Lesson, The (1997)",3.3846153846153846,13
"Boys of St. Vincent, The (1993)",3.3846153846153846,13
"Client, The (1994)",3.381443298969072,97
Akira (1988),3.38,50
I Shot Andy Warhol (1996),3.3783783783783785,37
"Hunchback of Notre Dame, The (1996)",3.377952755905512,127
Cop Land (1997),3.3771428571428572,175
Bad Taste (1987),3.375,16
"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",3.375,32
Night Falls on Manhattan (1997),3.375,32
Stealing Beauty (1996),3.375,64
Absolute Power (1997),3.37007874015748,127
Welcome To Sarajevo (1997),3.3636363636363638,22
"Mirror Has Two Faces, The (1996)",3.3636363636363638,66
That Old Feeling (1997),3.3636363636363638,11
My Best Friend's Wedding (1997),3.36046511627907,172
G.I. Jane (1997),3.36,175
U Turn (1997),3.359375,64
Swiss Family Robinson (1960),3.358974358974359,39
Freeway (1996),3.357142857142857,42
Executive Decision (1996),3.356687898089172,157
Die Hard 2 (1990),3.355421686746988,166
Meet Me in St. Louis (1944),3.3548387096774195,31
Pink Floyd - The Wall (1982),3.3508771929824563,114
Grease (1978),3.347058823529412,170
"Old Man and the Sea, The (1958)",3.34375,32
Dolores Claiborne (1994),3.3417721518987342,79
"Young Poisoner's Handbook, The (1995)",3.341463414634146,41
Dangerous Minds (1995),3.3404255319148937,47
How to Make an American Quilt (1995),3.3380281690140845,71
"Crucible, The (1996)",3.3376623376623376,77
Victor/Victoria (1982),3.3376623376623376,77
Star Trek: Generations (1994),3.336206896551724,116
Desperate Measures (1998),3.3333333333333335,45
Alphaville (1965),3.3333333333333335,12
Higher Learning (1995),3.3333333333333335,30
French Kiss (1995),3.3333333333333335,84
Radioland Murders (1994),3.3333333333333335,12
"Sword in the Stone, The (1963)",3.3292682926829267,82
Unforgettable (1996),3.323529411764706,34
Pretty Woman (1990),3.323170731707317,164
I.Q. (1994),3.3209876543209877,81
Michael (1996),3.319327731092437,119
Little Buddha (1993),3.3181818181818183,22
Unstrung Heroes (1995),3.3181818181818183,22
Kama Sutra: A Tale of Love (1996),3.3181818181818183,22
Get on the Bus (1996),3.3157894736842106,38
Mission: Impossible (1996),3.313953488372093,344
Jumanji (1995),3.3125,96
Rudy (1993),3.3125,64
Traveller (1997),3.3076923076923075,13
"Replacement Killers, The (1998)",3.3076923076923075,39
In & Out (1997),3.3043478260869565,230
"Three Musketeers, The (1993)",3.303370786516854,89
Copycat (1995),3.302325581395349,86
Desperate Measures (1998),3.2962962962962963,27
Washington Square (1997),3.2941176470588234,34
"Great Race, The (1965)",3.2903225806451615,31
Under Siege (1992),3.2903225806451615,124
"Walk in the Clouds, A (1995)",3.2857142857142856,63
Once Upon a Time... When We Were Colored (1995),3.2857142857142856,28
It's My Party (1995),3.2857142857142856,21
Die Hard: With a Vengeance (1995),3.2847682119205297,151
Star Trek VI: The Undiscovered Country (1991),3.279503105590062,161
"Firm, The (1993)",3.2781456953642385,151
To Die For (1995),3.2758620689655173,87
Everyone Says I Love You (1996),3.2738095238095237,168
"Three Caballeros, The (1945)",3.272727272727273,22
Strawberry and Chocolate (Fresa y chocolate) (1993),3.272727272727273,11
Mrs. Parker and the Vicious Circle (1994),3.272727272727273,22
"Peacemaker, The (1997)",3.2720588235294117,136
"War, The (1994)",3.2666666666666666,15
Strange Days (1995),3.264367816091954,87
Heavy Metal (1981),3.26027397260274,73
Career Girls (1997),3.2564102564102564,39
Mad City (1997),3.25531914893617,47
Up in Smoke (1978),3.25531914893617,47
Jackie Chan's First Strike (1996),3.2551724137931033,145
